# 1: Detection or Track-id,2: Video or Image Identifier,3: Unique Frame Identifier,4-7: Img-bbox(TL_x,TL_y,BR_x,BR_y),8: Detection or Length Confidence,9: Target Length (0 or -1 if invalid),10-11+: Repeated Species,Confidence Pairs or Attributes
# metadata,"exported_by: ""dive:python""","exported_time: ""Fri Jan  6 15:15:38 2023"""
255561,20160623_SSLC0073_C.jpg,0,5135,1644,5228,1734,1.0,-1,Juv,1.0
255562,20160623_SSLC0073_C.jpg,0,5053,1736,5140,1814,1.0,-1,Juv,1.0
255563,20160623_SSLC0073_C.jpg,0,5083,1850,5151,1959,1.0,-1,Juv,1.0
255564,20160623_SSLC0073_C.jpg,0,5357,1696,5459,1739,1.0,-1,Juv,1.0
255565,20160623_SSLC0073_C.jpg,0,4692,2112,4808,2188,1.0,-1,Fem,1.0
255566,20160623_SSLC0073_C.jpg,0,4636,2120,4713,2200,1.0,-1,Juv,1.0
255567,20160623_SSLC0073_C.jpg,0,4627,2087,4681,2186,1.0,-1,Juv,1.0
255568,20160623_SSLC0073_C.jpg,0,4550,1984,4655,2034,1.0,-1,Juv,1.0
255569,20160623_SSLC0073_C.jpg,0,4503,1933,4594,1977,1.0,-1,Juv,1.0
255570,20160623_SSLC0073_C.jpg,0,4634,1850,4726,1931,1.0,-1,Juv,1.0
255571,20160623_SSLC0073_C.jpg,0,4896,2022,4981,2100,1.0,-1,Juv,1.0
255572,20160623_SSLC0073_C.jpg,0,5017,1961,5080,2056,1.0,-1,Juv,1.0
255573,20160623_SSLC0073_C.jpg,0,5174,2143,5250,2235,1.0,-1,Juv,1.0
255574,20160623_SSLC0073_C.jpg,0,5003,2127,5066,2247,1.0,-1,Juv,1.0
255575,20160623_SSLC0073_C.jpg,0,4804,2240,4891,2298,1.0,-1,Juv,1.0
255576,20160623_SSLC0073_C.jpg,0,4955,2210,5057,2312,1.0,-1,Fem,1.0
255577,20160623_SSLC0106_C.JPG,1,539,898,672,1023,1.0,-1,Bull,1.0
255578,20160623_SSLC0106_C.JPG,1,825,1609,886,1673,1.0,-1,SAM,1.0
255579,20160623_SSLC0106_C.JPG,1,1009,1484,1105,1580,1.0,-1,Fem,1.0
255580,20160623_SSLC0106_C.JPG,1,939,1499,1035,1595,1.0,-1,Fem,1.0
255581,20160623_SSLC0106_C.JPG,1,810,1217,947,1322,0.9577019214630127,-1,Fem,0.9577019214630127
255582,20160623_SSLC0106_C.JPG,1,558,446,622,512,0.3325943052768707,-1,Juv,0.3325943052768707
255583,20160623_SSLC0106_C.JPG,1,881,938,924,1024,0.8400682210922241,-1,Juv,0.8400682210922241
255584,20160623_SSLC0106_C.JPG,1,913,936,958,1024,0.489028662443161,-1,Juv,0.489028662443161
255585,20160623_SSLC0106_C.JPG,1,992,942,1090,1018,1.0,-1,Juv,1.0
255586,20160623_SSLC0106_C.JPG,1,982,1007,1080,1066,1.0,-1,Juv,1.0
255587,20160623_SSLC0106_C.JPG,1,1088,936,1194,1008,0.6443355083465576,-1,Juv,0.6443355083465576
255588,20160623_SSLC0106_C.JPG,1,1098,1024,1189,1086,0.764136016368866,-1,Juv,0.764136016368866
255589,20160623_SSLC0106_C.JPG,1,966,1050,1056,1136,1.0,-1,Juv,1.0
255590,20160623_SSLC0106_C.JPG,1,1024,1081,1077,1179,1.0,-1,Juv,1.0
255591,20160623_SSLC0106_C.JPG,1,868,1062,954,1139,0.7929581999778748,-1,Juv,0.7929581999778748
255592,20160623_SSLC0106_C.JPG,1,948,1163,1024,1226,0.9556565284729004,-1,Juv,0.9556565284729004
255593,20160623_SSLC0106_C.JPG,1,1077,1147,1121,1232,0.9007366299629211,-1,Juv,0.9007366299629211
255594,20160623_SSLC0106_C.JPG,1,1247,1057,1340,1122,0.617717981338501,-1,Juv,0.617717981338501
255595,20160623_SSLC0106_C.JPG,1,901,1297,1001,1355,0.5339296460151672,-1,Juv,0.5339296460151672
255596,20160623_SSLC0106_C.JPG,1,931,1352,992,1406,0.9858713746070862,-1,Juv,0.9858713746070862
255597,20160623_SSLC0106_C.JPG,1,987,1308,1024,1372,0.21993765234947205,-1,Juv,0.21993765234947205
255598,20160623_SSLC0106_C.JPG,1,1024,1267,1069,1333,0.2244282215833664,-1,Juv,0.2244282215833664
255599,20160623_SSLC0106_C.JPG,1,1060,1325,1112,1393,0.953330397605896,-1,Juv,0.953330397605896
255600,20160623_SSLC0106_C.JPG,1,1105,1278,1197,1329,0.5546016097068787,-1,Juv,0.5546016097068787
255601,20160623_SSLC0106_C.JPG,1,1224,1240,1284,1299,0.8946443796157837,-1,Juv,0.8946443796157837
255602,20160623_SSLC0106_C.JPG,1,1149,1329,1237,1428,0.865431010723114,-1,Juv,0.865431010723114
255603,20160623_SSLC0106_C.JPG,1,1249,1344,1355,1407,0.8449941277503967,-1,Juv,0.8449941277503967
255604,20160623_SSLC0106_C.JPG,1,1298,1294,1394,1359,0.5983878374099731,-1,Juv,0.5983878374099731
255605,20160623_SSLC0106_C.JPG,1,1024,1394,1049,1463,0.2640223205089569,-1,Juv,0.2640223205089569
255606,20160623_SSLC0106_C.JPG,1,1031,1445,1110,1524,0.7474914193153381,-1,Juv,0.7474914193153381
255607,20160623_SSLC0106_C.JPG,1,1176,1449,1247,1513,0.5583210587501526,-1,Juv,0.5583210587501526
255611,20160623_SSLC0279_C.JPG,2,879,1816,5755,1971,1.0,-1,Ignore,1.0
255622,20160623_SSLC0279_C.JPG,2,201,1983,5761,3844,1.0,-1,Ignore,1.0
255625,20160623_SSLC0279_C.JPG,2,1563,1572,4934,1828,1.0,-1,Ignore,1.0
255634,20160623_SSLC0280_C.JPG,3,922,2328,1049,2455,1.0,-1,Bull,1.0
255635,20160623_SSLC0280_C.JPG,3,2647,2257,2776,2349,1.0,-1,Bull,1.0
255636,20160623_SSLC0280_C.JPG,3,3390,1887,3531,2000,1.0,-1,Bull,1.0
255637,20160623_SSLC0280_C.JPG,3,4003,2000,4120,2124,1.0,-1,Bull,1.0
255638,20160623_SSLC0280_C.JPG,3,3914,665,4062,805,1.0,-1,Bull,1.0
255639,20160623_SSLC0280_C.JPG,3,4427,489,4491,571,1.0,-1,Bull,1.0
255640,20160623_SSLC0280_C.JPG,3,518,3070,633,3212,1.0,-1,Fem,1.0
255641,20160623_SSLC0280_C.JPG,3,5126,2165,5258,2238,1.0,-1,SAM,1.0
255642,20160623_SSLC0280_C.JPG,3,1751,606,1847,706,1.0,-1,Fem,1.0
255643,20160623_SSLC0280_C.JPG,3,2339,1618,2429,1693,1.0,-1,Fem,1.0
255644,20160623_SSLC0280_C.JPG,3,2743,1665,2837,1817,1.0,-1,Fem,1.0
255645,20160623_SSLC0280_C.JPG,3,2760,1950,2831,2088,1.0,-1,Fem,1.0
255646,20160623_SSLC0280_C.JPG,3,2868,1858,2960,1960,1.0,-1,Fem,1.0
255647,20160623_SSLC0280_C.JPG,3,2831,2024,2890,2122,1.0,-1,Fem,1.0
255648,20160623_SSLC0280_C.JPG,3,2583,2100,2661,2175,1.0,-1,Fem,1.0
255649,20160623_SSLC0280_C.JPG,3,2870,2092,2952,2185,1.0,-1,Fem,1.0
255650,20160623_SSLC0280_C.JPG,3,3073,1889,3151,2016,1.0,-1,Fem,1.0
255651,20160623_SSLC0280_C.JPG,3,3093,2060,3174,2156,1.0,-1,Fem,1.0
255652,20160623_SSLC0280_C.JPG,3,3099,1978,3156,2085,1.0,-1,Fem,1.0
255653,20160623_SSLC0280_C.JPG,3,3174,1995,3232,2079,1.0,-1,Fem,1.0
255654,20160623_SSLC0280_C.JPG,3,3312,1976,3442,2067,1.0,-1,Fem,1.0
255655,20160623_SSLC0280_C.JPG,3,3465,1951,3578,2045,1.0,-1,Fem,1.0
255656,20160623_SSLC0280_C.JPG,3,3317,2067,3390,2154,1.0,-1,Fem,1.0
255657,20160623_SSLC0280_C.JPG,3,3167,2146,3276,2252,1.0,-1,Fem,1.0
255658,20160623_SSLC0280_C.JPG,3,3661,594,3726,736,1.0,-1,Fem,1.0
255659,20160623_SSLC0280_C.JPG,3,1190,2284,1297,2339,1.0,-1,Juv,1.0
255660,20160623_SSLC0280_C.JPG,3,2534,2175,2576,2241,1.0,-1,Juv,1.0
255661,20160623_SSLC0280_C.JPG,3,2553,2213,2614,2266,1.0,-1,Juv,1.0
255662,20160623_SSLC0280_C.JPG,3,2867,1968,2930,2047,1.0,-1,Juv,1.0
255663,20160623_SSLC0280_C.JPG,3,3292,2556,3393,2667,1.0,-1,SAM,1.0
255664,20160623_SSLC0280_C.JPG,3,3456,2551,3547,2662,1.0,-1,SAM,1.0
255665,20160623_SSLC0280_C.JPG,3,3417,2669,3511,2741,1.0,-1,SAM,1.0
255666,20160623_SSLC0280_C.JPG,3,3172,1958,3240,2024,1.0,-1,Juv,1.0
255667,20160623_SSLC0280_C.JPG,3,3225,1991,3267,2058,1.0,-1,Juv,1.0
255668,20160623_SSLC0280_C.JPG,3,3417,2044,3512,2112,1.0,-1,Juv,1.0
255669,20160623_SSLC0280_C.JPG,3,2894,1920,2974,1965,1.0,-1,Juv,1.0
255670,20160623_SSLC0280_C.JPG,3,4184,1288,4281,1380,1.0,-1,Juv,1.0
255671,20160623_SSLC0280_C.JPG,3,4164,1145,4253,1200,1.0,-1,Juv,1.0
255672,20160623_SSLC0280_C.JPG,3,4011,1031,4128,1108,1.0,-1,Juv,1.0
255673,20160623_SSLC0280_C.JPG,3,3940,1087,4071,1163,1.0,-1,Juv,1.0
255674,20160623_SSLC0280_C.JPG,3,5229,815,5324,916,1.0,-1,Fem,1.0
255675,20160623_SSLC0280_C.JPG,3,5017,1116,5096,1188,1.0,-1,Juv,1.0
255676,20160623_SSLC0280_C.JPG,3,5177,2582,5240,2645,1.0,-1,Juv,1.0
255677,20160623_SSLC0280_C.JPG,3,5225,2502,5304,2557,1.0,-1,Juv,1.0
255678,20160623_SSLC0280_C.JPG,3,5183,2436,5248,2498,1.0,-1,Juv,1.0
255679,20160623_SSLC0280_C.JPG,3,5132,2370,5184,2464,1.0,-1,Juv,1.0
255680,20160623_SSLC0280_C.JPG,3,5136,2370,5222,2409,1.0,-1,Juv,1.0
255681,20160623_SSLC0280_C.JPG,3,5227,2332,5293,2397,1.0,-1,Juv,1.0
255682,20160623_SSLC0280_C.JPG,3,5102,2266,5151,2360,1.0,-1,Juv,1.0
255683,20160623_SSLC0280_C.JPG,3,5075,2258,5135,2305,1.0,-1,Juv,1.0
255684,20160623_SSLC0280_C.JPG,3,5024,2303,5076,2391,1.0,-1,Juv,1.0
255686,20160623_SSLC0280_C.JPG,3,5079,2093,5125,2198,1.0,-1,Juv,1.0
255687,20160623_SSLC0280_C.JPG,3,5190,2079,5252,2155,1.0,-1,Juv,1.0
255688,20160623_SSLC0280_C.JPG,3,5024,2225,5118,2263,1.0,-1,Juv,1.0
255689,20160623_SSLC0280_C.JPG,3,5058,2330,5101,2401,1.0,-1,Juv,1.0
255690,20160623_SSLC0280_C.JPG,3,5033,2183,5085,2238,1.0,-1,Juv,1.0
255691,20160623_SSLC0280_C.JPG,3,5436,2298,5536,2345,1.0,-1,Juv,1.0
255692,20160623_SSLC0280_C.JPG,3,5360,2105,5418,2187,1.0,-1,Juv,1.0
255693,20160623_SSLC0280_C.JPG,3,5338,1981,5388,2083,1.0,-1,Juv,1.0
255694,20160623_SSLC0280_C.JPG,3,5402,1970,5475,2039,1.0,-1,Juv,1.0
255695,20160623_SSLC0280_C.JPG,3,5312,2653,5390,2749,1.0,-1,Fem,1.0
255696,20160623_SSLC0280_C.JPG,3,5307,1903,5352,1973,1.0,-1,Juv,1.0
255697,20160623_SSLC0280_C.JPG,3,5060,2165,5102,2218,1.0,-1,Juv,1.0
255699,20160623_SSLC0280_C.JPG,3,1642,2849,3642,3818,1.0,-1,Ignore,1.0
255700,20160623_SSLC0280_C.JPG,3,1725,681,1783,717,1.0,-1,Pup,1.0
255701,20160623_SSLC0280_C.JPG,3,1943,737,1970,782,1.0,-1,Pup,1.0
255702,20160623_SSLC0282_C.JPG,4,1661,1114,1821,1259,1.0,-1,Bull,1.0
255703,20160623_SSLC0282_C.JPG,4,1741,2271,1866,2438,1.0,-1,Bull,1.0
255704,20160623_SSLC0282_C.JPG,4,1965,2864,2092,3011,1.0,-1,Bull,1.0
255705,20160623_SSLC0282_C.JPG,4,2470,2657,2658,2794,1.0,-1,Bull,1.0
255706,20160623_SSLC0282_C.JPG,4,2599,1912,2726,2041,1.0,-1,Bull,1.0
255707,20160623_SSLC0282_C.JPG,4,3258,1583,3390,1721,1.0,-1,Bull,1.0
255708,20160623_SSLC0282_C.JPG,4,2699,1333,2819,1438,1.0,-1,Bull,1.0
255709,20160623_SSLC0282_C.JPG,4,3062,1084,3214,1223,1.0,-1,Bull,1.0
255710,20160623_SSLC0282_C.JPG,4,3945,50,4146,179,1.0,-1,Bull,1.0
255711,20160623_SSLC0282_C.JPG,4,3749,377,3863,486,1.0,-1,Bull,1.0
255712,20160623_SSLC0282_C.JPG,4,4171,297,4288,422,1.0,-1,Bull,1.0
255713,20160623_SSLC0282_C.JPG,4,3414,987,3639,1106,1.0,-1,Bull,1.0
255714,20160623_SSLC0282_C.JPG,4,4091,1593,4191,1738,1.0,-1,Bull,1.0
255715,20160623_SSLC0282_C.JPG,4,3590,2421,3731,2535,1.0,-1,Bull,1.0
255716,20160623_SSLC0282_C.JPG,4,4677,2232,4813,2352,1.0,-1,Bull,1.0
255717,20160623_SSLC0282_C.JPG,4,4809,2414,4965,2550,1.0,-1,Bull,1.0
255718,20160623_SSLC0282_C.JPG,4,1638,321,1792,442,1.0,-1,Fem,1.0
255719,20160623_SSLC0282_C.JPG,4,2811,3177,2920,3283,1.0,-1,Fem,1.0
255720,20160623_SSLC0282_C.JPG,4,3232,2934,3322,3035,1.0,-1,Fem,1.0
255721,20160623_SSLC0282_C.JPG,4,3045,2974,3144,3051,1.0,-1,Fem,1.0
255722,20160623_SSLC0282_C.JPG,4,2932,2762,3050,2858,1.0,-1,Fem,1.0
255723,20160623_SSLC0282_C.JPG,4,3114,2429,3253,2511,1.0,-1,Fem,1.0
255724,20160623_SSLC0282_C.JPG,4,3102,2143,3192,2253,1.0,-1,Fem,1.0
255725,20160623_SSLC0282_C.JPG,4,3259,1977,3340,2149,1.0,-1,Fem,1.0
255726,20160623_SSLC0282_C.JPG,4,3237,858,3335,956,1.0,-1,Fem,1.0
255727,20160623_SSLC0282_C.JPG,4,2971,1008,3077,1086,1.0,-1,Fem,1.0
255728,20160623_SSLC0282_C.JPG,4,3049,1481,3156,1588,1.0,-1,Fem,1.0
255729,20160623_SSLC0282_C.JPG,4,3267,1002,3322,1040,1.0,-1,Pup,1.0
255730,20160623_SSLC0282_C.JPG,4,3246,236,3346,375,1.0,-1,Fem,1.0
255731,20160623_SSLC0282_C.JPG,4,3617,631,3710,747,1.0,-1,Fem,1.0
255732,20160623_SSLC0282_C.JPG,4,3469,856,3602,930,1.0,-1,Fem,1.0
255733,20160623_SSLC0282_C.JPG,4,3452,892,3572,975,1.0,-1,Fem,1.0
255734,20160623_SSLC0282_C.JPG,4,3598,891,3697,997,1.0,-1,Fem,1.0
255735,20160623_SSLC0282_C.JPG,4,3558,1264,3665,1408,1.0,-1,Fem,1.0
255736,20160623_SSLC0282_C.JPG,4,3861,1217,3944,1371,1.0,-1,Fem,1.0
255737,20160623_SSLC0282_C.JPG,4,3951,1203,4040,1312,1.0,-1,Fem,1.0
255738,20160623_SSLC0282_C.JPG,4,3711,1504,3810,1612,1.0,-1,Fem,1.0
255739,20160623_SSLC0282_C.JPG,4,3887,1427,3995,1526,1.0,-1,Fem,1.0
255740,20160623_SSLC0282_C.JPG,4,3974,1301,4056,1398,1.0,-1,Fem,1.0
255741,20160623_SSLC0282_C.JPG,4,4290,972,4362,1091,1.0,-1,Fem,1.0
255742,20160623_SSLC0282_C.JPG,4,4340,1041,4432,1145,1.0,-1,Fem,1.0
255743,20160623_SSLC0282_C.JPG,4,4002,943,4085,1055,1.0,-1,Fem,1.0
255744,20160623_SSLC0282_C.JPG,4,4546,1010,4658,1097,1.0,-1,Fem,1.0
255745,20160623_SSLC0282_C.JPG,4,4470,1343,4555,1459,1.0,-1,Fem,1.0
255746,20160623_SSLC0282_C.JPG,4,4401,1384,4494,1481,1.0,-1,Fem,1.0
255747,20160623_SSLC0282_C.JPG,4,4642,1449,4770,1538,1.0,-1,Fem,1.0
255748,20160623_SSLC0282_C.JPG,4,4522,1394,4638,1496,1.0,-1,Fem,1.0
255749,20160623_SSLC0282_C.JPG,4,4510,1100,4602,1199,1.0,-1,Fem,1.0
255750,20160623_SSLC0282_C.JPG,4,3510,1760,3626,1852,1.0,-1,Fem,1.0
255751,20160623_SSLC0282_C.JPG,4,3482,1821,3572,1909,1.0,-1,Fem,1.0
255752,20160623_SSLC0282_C.JPG,4,3687,1737,3811,1831,1.0,-1,Fem,1.0
255753,20160623_SSLC0282_C.JPG,4,3688,1588,3791,1690,1.0,-1,Fem,1.0
255754,20160623_SSLC0282_C.JPG,4,3742,1645,3801,1746,1.0,-1,Fem,1.0
255755,20160623_SSLC0282_C.JPG,4,3379,2238,3499,2337,1.0,-1,Fem,1.0
255756,20160623_SSLC0282_C.JPG,4,3461,2306,3539,2424,1.0,-1,Fem,1.0
255757,20160623_SSLC0282_C.JPG,4,3576,1749,3683,1844,1.0,-1,Fem,1.0
255758,20160623_SSLC0282_C.JPG,4,3368,2780,3492,2876,1.0,-1,Fem,1.0
255759,20160623_SSLC0282_C.JPG,4,2824,3034,2866,3124,1.0,-1,Juv,1.0
255760,20160623_SSLC0282_C.JPG,4,2907,3130,2960,3201,1.0,-1,Juv,1.0
255761,20160623_SSLC0282_C.JPG,4,3053,3144,3129,3203,1.0,-1,Juv,1.0
255762,20160623_SSLC0282_C.JPG,4,3144,3032,3230,3108,1.0,-1,Fem,1.0
255763,20160623_SSLC0282_C.JPG,4,3036,3067,3132,3150,1.0,-1,Juv,1.0
255764,20160623_SSLC0282_C.JPG,4,2878,2976,2979,3065,1.0,-1,Fem,1.0
255765,20160623_SSLC0282_C.JPG,4,3200,2178,3279,2232,1.0,-1,Juv,1.0
255766,20160623_SSLC0282_C.JPG,4,4020,862,4106,918,1.0,-1,Juv,1.0
255767,20160623_SSLC0282_C.JPG,4,3848,1062,3907,1119,1.0,-1,Juv,1.0
255768,20160623_SSLC0282_C.JPG,4,3770,1106,3843,1173,1.0,-1,Juv,1.0
255769,20160623_SSLC0282_C.JPG,4,3767,1161,3862,1202,1.0,-1,Fem,1.0
255770,20160623_SSLC0282_C.JPG,4,3709,1032,3799,1094,1.0,-1,Juv,1.0
255771,20160623_SSLC0282_C.JPG,4,4056,1388,4118,1491,1.0,-1,Fem,1.0
255772,20160623_SSLC0282_C.JPG,4,4096,1339,4156,1396,1.0,-1,Fem,1.0
255773,20160623_SSLC0282_C.JPG,4,4158,1372,4211,1477,1.0,-1,Bull,1.0
255774,20160623_SSLC0282_C.JPG,4,4308,1171,4356,1260,1.0,-1,Fem,1.0
255775,20160623_SSLC0282_C.JPG,4,4349,901,4464,976,1.0,-1,Fem,1.0
255776,20160623_SSLC0282_C.JPG,4,4450,1295,4576,1362,1.0,-1,Fem,1.0
255777,20160623_SSLC0282_C.JPG,4,4472,1278,4559,1307,1.0,-1,Juv,1.0
255778,20160623_SSLC0282_C.JPG,4,4533,1292,4591,1369,1.0,-1,Juv,1.0
255779,20160623_SSLC0282_C.JPG,4,3749,1241,3832,1297,1.0,-1,Juv,1.0
255780,20160623_SSLC0282_C.JPG,4,3430,2238,3487,2290,1.0,-1,Juv,1.0
255781,20160623_SSLC0282_C.JPG,4,3797,1667,3863,1742,1.0,-1,Fem,1.0
255782,20160623_SSLC0282_C.JPG,4,3846,1644,3914,1720,1.0,-1,Fem,1.0
255783,20160623_SSLC0282_C.JPG,4,3833,1588,3921,1657,1.0,-1,Fem,1.0
255785,20160623_SSLC0282_C.JPG,4,3444,2881,3516,2950,1.0,-1,Juv,1.0
